Prot_Met,coding
Prot_Met_1,883
Prot_Met_2,919
Prot_Met_3,746
Prot_Met_4,1840
Prot_Met_5,1631
Prot_Met_6,483
Prot_Met_7,1960
Prot_Met_8,1137
Prot_Met_9,1247
Prot_Met_10,1086
Prot_Met_11,2353
Prot_Met_12,1141
Prot_Met_13,733
Prot_Met_14,2096
Prot_Met_15,41
Prot_Met_16,490
Prot_Met_17,24
Prot_Met_18,2746
Prot_Met_19,329
Prot_Met_20,744
Prot_Met_21,2605
Prot_Met_22,1339
Prot_Met_23,495
Prot_Met_24,378
Prot_Met_25,66
Prot_Met_26,2273
Prot_Met_27,72
Prot_Met_28,2202
Prot_Met_29,1729
Prot_Met_30,924
Prot_Met_31,1519
Prot_Met_32,2793
Prot_Met_33,548
Prot_Met_34,503
Prot_Met_35,519
Prot_Met_36,1520
Prot_Met_37,2895
Prot_Met_38,326
Prot_Met_39,1517
Prot_Met_40,42
Prot_Met_41,1567
Prot_Met_42,2521
Prot_Met_43,637
Prot_Met_44,751
Prot_Met_45,1507
Prot_Met_46,2316
Prot_Met_47,1891
Prot_Met_48,1371
Prot_Met_49,560
Prot_Met_50,2670
Prot_Met_51,2148
Prot_Met_52,1522
Prot_Met_53,68
Prot_Met_54,1911
Prot_Met_55,701
Prot_Met_56,1705
Prot_Met_57,1198
Prot_Met_58,686
Prot_Met_59,22
Prot_Met_60,1461
Prot_Met_61,2066
Prot_Met_62,957
Prot_Met_63,118
Prot_Met_64,1704
Prot_Met_65,303
Prot_Met_66,420
Prot_Met_67,56
Prot_Met_68,634
Prot_Met_69,1163
Prot_Met_70,1008
Prot_Met_71,638
Prot_Met_72,1138
Prot_Met_73,1121
Prot_Met_74,931
Prot_Met_75,2305
Prot_Met_76,256
Prot_Met_77,2290
Prot_Met_78,676
Prot_Met_79,2894
Prot_Met_80,627
Prot_Met_81,1455
Prot_Met_82,1745
Prot_Met_83,1506
Prot_Met_84,567
Prot_Met_85,2737
Prot_Met_86,718
Prot_Met_87,2137
Prot_Met_88,2280
Prot_Met_89,2135
Prot_Met_90,2427
Prot_Met_91,471
Prot_Met_92,1847
Prot_Met_93,117
Prot_Met_94,487
Prot_Met_95,1042
Prot_Met_96,2152
Prot_Met_97,2392
Prot_Met_98,2460
Prot_Met_99,1445
Prot_Met_100,1147
Prot_Met_101,1821
Prot_Met_102,2720
Prot_Met_103,756
Prot_Met_104,768
Prot_Met_105,1464
Prot_Met_106,1460
Prot_Met_107,472
Prot_Met_108,242
Prot_Met_109,860
Prot_Met_110,407
Prot_Met_111,1413
Prot_Met_112,2548
Prot_Met_113,1376
Prot_Met_114,2378
Prot_Met_115,2354
Prot_Met_116,1009
Prot_Met_117,992
Prot_Met_118,1599
Prot_Met_119,668
Prot_Met_120,232
Prot_Met_121,2169
Prot_Met_122,1843
Prot_Met_123,1605
Prot_Met_124,995
Prot_Met_125,2362
Prot_Met_126,566
Prot_Met_127,1521
Prot_Met_128,1914
Prot_Met_129,53
Prot_Met_130,1594
Prot_Met_131,2201
Prot_Met_132,2054
Prot_Met_133,380
Prot_Met_134,2056
Prot_Met_135,2578
Prot_Met_136,2461
Prot_Met_137,2125
Prot_Met_138,414
Prot_Met_139,932
Prot_Met_140,1480
Prot_Met_141,1910
Prot_Met_142,691
Prot_Met_143,1628
Prot_Met_144,949
Prot_Met_145,1883
Prot_Met_146,1929
Prot_Met_147,1244
Prot_Met_148,2356
Prot_Met_149,1931
Prot_Met_150,1513
Prot_Met_151,1523
Prot_Met_152,2355
Prot_Met_153,553
Prot_Met_154,742
Prot_Met_155,299
Prot_Met_156,823
Prot_Met_157,1385
Prot_Met_158,2840
Prot_Met_159,728
Prot_Met_160,1417
Prot_Met_161,2451
Prot_Met_162,2034
Prot_Met_163,2616
Prot_Met_164,1543
Prot_Met_165,2208
Prot_Met_166,583
Prot_Met_167,684
Prot_Met_168,2279
Prot_Met_169,574
Prot_Met_170,1307
Prot_Met_171,2048
Prot_Met_172,620
Prot_Met_173,867
Prot_Met_174,1202
Prot_Met_175,1569
Prot_Met_176,2677
Prot_Met_177,1736
Prot_Met_178,2190
Prot_Met_179,1784
Prot_Met_180,74
Prot_Met_181,582
Prot_Met_182,709
Prot_Met_183,2383
Prot_Met_184,1298
Prot_Met_185,2157
Prot_Met_186,947
Prot_Met_187,288
Prot_Met_188,1817
Prot_Met_189,1317
Prot_Met_190,2543
Prot_Met_191,64
Prot_Met_192,279
Prot_Met_193,712
Prot_Met_194,1799
Prot_Met_195,1088
Prot_Met_196,2634
Prot_Met_197,2200
Prot_Met_198,629
Prot_Met_199,1334
Prot_Met_200,621
Prot_Met_201,948
Prot_Met_202,1359
Prot_Met_203,894
Prot_Met_204,623
Prot_Met_205,559
Prot_Met_206,2805
Prot_Met_207,831
Prot_Met_208,2154
Prot_Met_209,1686
Prot_Met_210,1402
Prot_Met_211,152
Prot_Met_212,1922
Prot_Met_213,2824
Prot_Met_214,2875
Prot_Met_215,389
Prot_Met_216,738
Prot_Met_217,816
Prot_Met_218,2164
Prot_Met_219,2204
Prot_Met_220,737
Prot_Met_221,2374
Prot_Met_222,1837
Prot_Met_223,1534
Prot_Met_224,1066
Prot_Met_225,54
Prot_Met_226,459
Prot_Met_227,2659
Prot_Met_228,743
Prot_Met_229,2381
Prot_Met_230,1629
Prot_Met_231,1938
Prot_Met_232,1267
Prot_Met_233,1781
Prot_Met_234,2068
Prot_Met_235,2745
Prot_Met_236,2313
Prot_Met_237,652
Prot_Met_238,655
Prot_Met_239,2184
Prot_Met_240,1636
Prot_Met_241,2790
Prot_Met_242,1201
Prot_Met_243,819
Prot_Met_244,979
Prot_Met_245,1158
Prot_Met_246,1357
Prot_Met_247,2282
Prot_Met_248,188
Prot_Met_249,1425
Prot_Met_250,163
Prot_Met_251,1383
Prot_Met_252,2545
Prot_Met_253,2813
Prot_Met_254,342
Prot_Met_255,2657
Prot_Met_256,40
Prot_Met_257,485
Prot_Met_258,186
Prot_Met_259,1136
Prot_Met_260,2897
Prot_Met_261,1399
Prot_Met_262,2197
Prot_Met_263,1991
Prot_Met_264,2254
Prot_Met_265,287
Prot_Met_266,570
Prot_Met_267,841
Prot_Met_268,1895
Prot_Met_269,2424
Prot_Met_270,2730
Prot_Met_271,103
Prot_Met_272,2714
Prot_Met_273,643
Prot_Met_274,902
Prot_Met_275,689
Prot_Met_276,2712
Prot_Met_277,2738
Prot_Met_278,1547
Prot_Met_279,1766
Prot_Met_280,1802
Prot_Met_281,762
Prot_Met_282,1858
Prot_Met_283,146
Prot_Met_284,191
Prot_Met_285,1940
Prot_Met_286,944
